1,Bernd,Leno
2,R̼nar Alex,R̼narsson
3,Willian,Borges Da Silva
4,Pierre-Emerick,Aubameyang
5,C̩dric,Soares
6,Alexandre,Lacazette
7,Granit,Xhaka
8,Pablo,Mar�?
9,H̩ctor,Beller�?n
10,Calum,Chambers
11,Sead,Kolasinac
12,Mohamed Naser,El Sayed Elneny
13,Ainsley,Maitland-Niles
14,Rob,Holding
15,Thomas,Partey
16,Kieran,Tierney
17,Nicolas,P̩p̩
18,Lucas,Torreira
19,Edward,Nketiah
20,Emile,Smith Rowe
21,Bukayo,Saka
22,Gabriel,Magalḥes
23,Konstantinos,Mavropanos
24,Matt̩o,Guendouzi
25,Gabriel Teodoro,Martinelli Silva
26,William,Saliba
27,Ben,White
28,Nuno,Varela Tavares
29,Albert,Sambi Lokonga
30,Folarin,Balogun
31,Reiss,Nelson
32,Karl,Hein
33,Martin,��degaard
34,Aaron,Ramsdale
35,Arthur,Okonkwo
36,Takehiro,Tomiyasu
37,Jed,Steer
38,Conor,Hourihane
39,Emiliano,Mart�?nez
40,Bj̦rn,Engels
41,Bertrand,Traor̩
42,Morgan,Sanson
43,John,McGinn
44,Kortney,Hause
45,Mahmoud Ahmed,Ibrahim Hassan
46,Tyrone,Mings
47,Matt,Targett
48,Ollie,Watkins
49,Marvelous,Nakamba
50,Anwar,El Ghazi
51,Emiliano,Buend�?a Stati
52,Matthew,Cash
53,Ezri,Konsa Ngoyo
54,Fr̩d̩ric,Guilbert
55,Wesley,Moraes
56,Mbwana Ally,Samatta
57,Keinan,Davis
58,Douglas Luiz,Soares de Paulo
59,Jacob,Ramsey
60,Ashley,Young
61,Axel,Tuanzebe
62,Danny,Ings
63,Leon,Bailey
64,Aaron,Ramsey
65,Jaden,Philogene-Bidace
66,Carney,Chukwuemeka
67,Cameron,Archer
68,Viljami,Sinisalo
69,Lamare,Bogarde
70,Pontus,Jansson
71,Christian,N��rgaard
72,Ivan,Toney
73,Tariqe,Fosu-Henry
74,David,Raya Martin
75,Sergi,Can�?s
76,Pelenda Joshua,Dasilva
77,Rico,Henry
78,Vitaly,Janelt
79,Saman,Ghoddos
80,Mathias,Jensen
81,Charlie,Goode
82,Marcus,Forss
83,Mads,Roerslev Rasmussen
84,Mads,Bech S��rensen
85,Ethan,Pinnock
86,Ellery,Balcombe
87,Jan,Zamburek
88,Patrik,Gunnarsson
89,Halil,Dervi��o��lu
90,Bryan,Mbeumo
91,Mads,Bidstrup
92,Frank,Onyeka
93,Kristoffer,Ajer
94,Dominic,Thompson
95,Shandon,Baptiste
96,Yoane,Wissa
98,Finley,Stevens
99,Mathias,Jorgensen
100,Paris,Maghoma
101,Matthew,Cox
102,Adam,Lallana
103,Jason,Steele
